"treatment","rank","total","precent"
"ARV.825..BRD.BRD.A00047421.001.01.7.",-1,8194,-0.0122040517451794
"RS.0481..BRD.BRD.A00055058.001.01.0.",-1,7111,-0.0140627197299958
"X8.BROMO.CGMP..BRD.BRD.A00077618.236.07.6.",-1,11015,-0.00907852927825692
"DOCUSATE..BRD.BRD.A00092689.236.04.9.",7638,8958,85.264567983925
"NIFURTIMOX..BRD.BRD.A00100033.001.08.9.",-1,8891,-0.0112473287594196
"BALAGLITAZONE..BRD.BRD.A00147595.001.01.5.",-1,7032,-0.0142207053469852
"FLUTRIMAZOLE..BRD.BRD.A00218260.001.03.4.",3054,10735,28.4489986027014
"KBG..BRD.BRD.A00376169.001.01.6.",-1,7970,-0.0125470514429109
"OTENZEPAD..BRD.BRD.A00520476.001.07.4.",-1,9394,-0.0106450926123057
"BIPERIDEN..BRD.BRD.A00546892.001.02.6.",-1,9967,-0.0100331092605598
"W.54011..BRD.BRD.A00559310.003.01.1.",-1,4535,-0.0220507166482911
"ZALTOPROFEN..BRD.BRD.A00578795.001.04.3.",29,9999,0.29002900290029
"NORETYNODREL..BRD.BRD.A00758722.001.04.9.",-1,8010,-0.0124843945068664
"DYPHYLLINE..BRD.BRD.A00827783.001.24.6.",5193,12668,40.9930533628039
"OLEUROPEIN..BRD.BRD.A00842753.001.01.9.",-1,10806,-0.00925411808254673
"ALPRENOLOL..BRD.BRD.A00993607.003.24.6.",671,5112,13.1259780907668
"AZELNIDIPINE..BRD.BRD.A01098288.001.02.9.",2226,8155,27.2961373390558
"AMG.487........BRD.BRD.A01307728.001.01.4.",986,11034,8.93601595069784
"HYDROXYPROPYL.BETA.CYCLODEXTRIN..BRD.BRD.A01412266.001.01.0.",2009,9520,21.1029411764706
"WB.4101..BRD.BRD.A01493904.003.12.1.",-1,7492,-0.0133475707421249
"CLEVIPREX..BRD.BRD.A01563671.001.02.7.",2569,8833,29.0841163817503
"CHLORMADINONE.ACETATE..BRD.BRD.A01593789.001.03.1.",8186,9183,89.1429815964282
"BUPIVACAINE..BRD.BRD.A01636364.003.15.1.",-1,7796,-0.012827090815803
"PREDNISOLONE.ACETATE..BRD.BRD.A01643550.001.04.9.",455,8811,5.16399954602202
"NAFTOPIDIL..BRD.BRD.A01787639.003.16.9.",4555,9177,49.6349569576114
"FK.33.824..BRD.BRD.A01907367.001.01.7.",291,10874,2.67610814787567
"NITRENDIPINE..BRD.BRD.A02006392.001.16.4.",974,7374,13.208570653648
"BETAMETHASONE..BRD.BRD.A02180903.001.04.5.",-1,5299,-0.0188714851858841
"ISOLEUCINE..BRD.BRD.A02232681.001.01.8.",-1,8979,-0.0111370976723466
"CEVIPABULIN..BRD.BRD.A02473266.001.01.1.",847,10055,8.42366981601193
"TALOPRAM..BRD.BRD.A02532772.003.01.7.",429,10886,3.94084144773103
"MEPTAZINOL..BRD.BRD.A02710418.003.11.8.",812,6293,12.9032258064516
"CILNIDIPINE..BRD.BRD.A02743701.001.03.6.",4196,12023,34.899775430425
"BETAXOLOL..BRD.BRD.A02759312.003.24.5.",-1,9309,-0.0107422924051993
